"Item","Qty","Link","Price","Running total"
"Keycaps","1 set","https://stackskb.com/store/veekos-gradient-keycaps-cherry-profile-135-keys/","Rs. 1300 (~ $15)","Rs. 1300 ($15)"
"Switches","100pc","https://www.thecosmicbyte.com/product/gateron-mechanical-switches-compatible-with-cosmic-byte-hot-swappable-keyboards-qty-1pc/","Rs. 2000 (~ $25)","Rs. 3300 ($40)"
"Resettable Fuse","1","https://www.lcsc.com/product-detail/C2153776.html","$2 (~ Rs. 200)","Rs. 3500 ($42)"
"Raspberry Pi Pico","1","https://robu.in/product/raspberry-pi-pico/","Rs. 400 (~ $5)","Rs. 3900 ($47)"
"1k resistor","2","https://www.lcsc.com/product-detail/C119870.html","$0.60 (~ Rs. 60)","Rs. 3960 ($47.6)"
"1N4148 diodes","96","https://www.lcsc.com/product-detail/C84410.html","$1.6 (~ Rs. 160)","Rs. 4120 ($49.2)"
"EC11 rotary encoder","1","-","0","Rs. 4120 ($49.2)"
"SK6812MINI-E","120","https://www.lcsc.com/product-detail/C5149201.html?s_z=n_SK6812MINI-E","$9 (~ Rs. 900)","Rs. 5020 ($58.2)"
"PCB","1","JLCPCB","$25.3 (~Rs. 2300)","Rs. 7320 ($83.5)"
"Keycap Stabilizers","8","https://stackskb.com/store/genuine-cherry-mx-plate-mount-stabilizers-2u/","Rs. 400 (~$4)","Rs. 7720 ($87.5)"
"Keycap Stabilizers","1 set","https://www.amazon.in/Merishopp-Stabilizers-Precision-Mechanical-Networking/dp/B0FF4F3RZY","Rs. 870 (~$8)","Rs. 8590 ($95.5)"
"Shipping (Guesstimate)","-","-","$25 (~Rs. 2500)","Rs. 11090 ($120.5)"
