Designator,Mid X,Mid Y,Rotation,Layer
A1,489.69,-94.31,0.0,bottom
D1,80.9625,-86.6775,90.0,bottom
D10,290.5125,-86.6775,90.0,bottom
D11,309.5625,-86.6775,90.0,bottom
D12,328.6125,-86.6775,90.0,bottom
D13,347.6625,-86.6775,90.0,bottom
D14,376.2375,-86.6775,90.0,bottom
D15,395.2875,-86.6775,90.0,bottom
D16,414.3375,-86.6775,90.0,bottom
D17,80.9625,-115.2525,90.0,bottom
D18,100.0125,-115.2525,90.0,bottom
D19,119.0625,-115.2525,90.0,bottom
D192,499.6,-179.5,270.0,top
D2,119.0625,-86.6775,90.0,bottom
D20,138.1125,-115.2525,90.0,bottom
D21,157.1625,-115.2525,90.0,bottom
D22,176.2125,-115.2525,90.0,bottom
D23,195.2625,-115.2525,90.0,bottom
D24,214.3125,-115.2525,90.0,bottom
D25,233.3625,-115.2525,90.0,bottom
D26,252.4125,-115.2525,90.0,bottom
D27,271.4625,-115.2525,90.0,bottom
D28,290.5125,-115.2525,90.0,bottom
D29,309.5625,-115.2525,90.0,bottom
D3,138.1125,-86.6775,90.0,bottom
D30,334.3275,-109.5375,180.0,bottom
D32,376.2375,-115.2525,90.0,bottom
D33,85.725,-134.3025,90.0,bottom
D34,109.5375,-134.3025,90.0,bottom
D35,128.5875,-134.3025,90.0,bottom
D36,147.6375,-134.3025,90.0,bottom
D37,166.6875,-134.3025,90.0,bottom
D38,185.7375,-134.3025,90.0,bottom
D39,204.7875,-134.3025,90.0,bottom
D4,157.1625,-86.6775,90.0,bottom
D40,223.8375,-134.3025,90.0,bottom
D41,242.8875,-134.3025,90.0,bottom
D42,261.9375,-134.3025,90.0,bottom
D43,280.9875,-134.3025,90.0,bottom
D44,300.0375,-134.3025,90.0,bottom
D45,319.0875,-134.3025,90.0,bottom
D46,340.51875,-131.92125,90.0,bottom
D47,395.2875,-115.2525,90.0,bottom
D48,414.3375,-115.2525,90.0,bottom
D49,88.10625,-150.97125,90.0,bottom
D5,176.2125,-86.6775,90.0,bottom
D50,114.3,-150.97125,90.0,bottom
D51,133.35,-153.3525,90.0,bottom
D52,152.4,-153.3525,90.0,bottom
D53,171.45,-153.3525,90.0,bottom
D54,190.5,-153.3525,90.0,bottom
D55,209.55,-153.3525,90.0,bottom
D56,228.6,-153.3525,90.0,bottom
D57,247.65,-153.3525,90.0,bottom
D58,266.7,-153.3525,90.0,bottom
D59,285.75,-153.3525,90.0,bottom
D6,204.7875,-86.6775,90.0,bottom
D60,304.8,-153.3525,90.0,bottom
D61,331.7,-148.4,180.0,bottom
D62,376.2375,-134.3025,90.0,bottom
D63,395.2875,-134.3025,90.0,bottom
D64,414.3375,-134.3025,90.0,bottom
D65,90.4875,-166.6875,90.0,bottom
D66,123.825,-172.4025,90.0,bottom
D67,142.875,-172.4025,90.0,bottom
D68,161.925,-172.4025,90.0,bottom
D69,180.975,-172.4025,90.0,bottom
D7,223.8375,-86.6775,90.0,bottom
D70,200.025,-172.4025,90.0,bottom
D71,219.075,-172.4025,90.0,bottom
D72,238.125,-172.4025,90.0,bottom
D73,257.175,-172.4025,90.0,bottom
D74,276.225,-172.4025,90.0,bottom
D75,295.275,-172.4025,90.0,bottom
D76,319.0875,-172.4025,90.0,bottom
D77,376.2375,-172.4025,90.0,bottom
D78,395.2875,-172.4025,90.0,bottom
D79,414.3375,-172.4025,90.0,bottom
D8,242.8875,-86.6775,90.0,bottom
D80,461.9625,-153.3525,90.0,bottom
D81,80.9625,-191.4525,90.0,bottom
D82,100.0125,-191.4525,90.0,bottom
D83,119.0625,-191.4525,90.0,bottom
D84,138.1125,-191.4525,90.0,bottom
D85,207.16875,-191.4525,90.0,bottom
D86,442.9125,-172.4025,90.0,bottom
D87,461.9625,-172.4025,90.0,bottom
D88,481.0125,-172.4025,90.0,bottom
D89,481.0125,-153.3525,90.0,bottom
D9,261.9375,-86.6775,90.0,bottom
D90,276.225,-191.4525,90.0,bottom
D91,297.65625,-191.4525,90.0,bottom
